Id,SalePrice
1461,117861.56118642323
1462,155804.32231175608
1463,180771.05774713412
1464,196309.82085909735
1465,198527.06058002048
1466,168604.1531106959
1467,173516.24081257143
1468,167510.4180089271
1469,189591.03612475598
1470,125853.6870431832
1471,185180.9151819184
1472,97734.5096605001
1473,96063.56223066547
1474,150119.03513780536
1475,118745.44979923026
1476,370043.5990929748
1477,253655.39141103235
1478,319127.64353813836
1479,321199.9746852503
1480,492632.9453861346
1481,336577.36174321576
1482,225224.85033231278
1483,168619.50780917157
1484,169774.11882163348
1485,193020.0356385925
1486,194158.25976232666
1487,323504.7484824083
1488,233485.6093425274
1489,191793.5137511437
1490,226338.32063322226
1491,193343.98190417653
1492,87784.24208627362
1493,190944.67495288712
1494,272877.62651512073
1495,281727.98398299713
1496,234422.3339939849
1497,173757.8350061572
1498,172965.84421265713
1499,165376.61052867468
1500,158229.22206130327
1501,174361.03297755003
1502,152298.0700409832
1503,278838.14660844335
1504,243012.96244937385
1505,223611.53677654866
1506,186695.5434399069
1507,241831.5961267898
1508,195122.22902032614
1509,170460.68617181707
1510,144052.38476693077
1511,143313.58598683192
1512,161089.3994663459
1513,149515.87580354756
1514,133751.8864920154
1515,201261.4840842537
1516,148347.28873183433
1517,162136.26221334503
1518,128028.66469629746
1519,203977.8579799588
1520,131842.41034984426
1521,131772.08250838664
1522,168785.69381564535
1523,114800.75747825476
1524,122708.47153303845
1525,120767.48851838814
1526,110087.99738024472
1527,105296.86844373119
1528,133606.9124418787
1529,156710.66259201086
1530,186169.01654291025
1531,108925.00069793701
1532,96518.69458140513
1533,137477.26406564738
1534,121100.55854568568
1535,149672.2897022096
1536,110768.87394367301
1537,70457.28854453046
1538,138927.0071657895
1539,193007.76879601795
1540,90539.39062156164
1541,152029.150090462
1542,139311.43727420038
1543,203455.57525941735
1544,79038.97580340473
1545,111259.77166044417
1546,142815.52196885576
1547,140098.8791206405
1548,137191.2680780567
1549,121355.84216648983
1550,136851.73572241387
1551,100092.87412599816
1552,139490.18816556505
1553,138320.47974922805
1554,119038.04749101837
1555,167009.99982039008
1556,90932.1033617066
1557,96773.21054839954
1558,98722.58289653488
1559,88972.10830415352
1560,139027.1740123495
1561,112110.30847018579
1562,132811.91303549462
1563,120693.53712727292
1564,155319.29665185645
1565,150436.67090178706
1566,240458.18984847606
1567,78769.7273199921
1568,223198.01540944577
1569,126650.2230986651
1570,144911.29839923503
1571,114413.75678172139
1572,137632.09878832827
1573,233071.5135707343
1574,115804.0032195193
1575,224279.73825776106
1576,240251.47667107807
1577,198729.6131752851
1578,143901.1609251988
1579,136803.48847467353
1580,199870.94353478227
1581,147964.9973798475
1582,131548.06814542675
1583,290062.6003668648
1584,216950.9584899675
